session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,best_loss,Mouse_ID,Gene,Sex
311,187,0.601286174,0.63022508,-0.022508039,0.703716636,0.659152269,-0.107077695,0.793339431,0.605014028,SHANK3B_004_115_85,SHANK3B,F
217,120,0.552995392,0.589861751,-0.059907834,0,4.803488731,-0.018267862,0.203096718,0.586093076,SHANK3B_004_120_96,SHANK3B,M
287,169,0.588850174,0.613240418,-0.135888502,1,0.537681043,-0.534500301,0.933904529,0.616568642,SHANK3B_004_122_12,SHANK3B,F
293,161,0.549488055,0.590443686,-0.010238908,0.006420311,3.698208809,-0.014858339,0.230661452,0.605710703,SHANK3B_004_122_15,SHANK3B,F
279,157,0.562724014,0.677419355,-0.146953405,0.288485914,1.011004448,-0.382383704,0.34576869,0.616030184,SHANK3B_004_126_28,SHANK3B,F
247,158,0.639676113,0.684210526,-0.133603239,0.392568797,1.109288812,-0.311132163,0.617342174,0.523733533,SHANK3B_004_126_31,SHANK3B,M
331,195,0.589123867,0.70694864,0.063444109,,,,,,SHANK3B_004_68_23,SHANK3B,M
335,178,0.531343284,0.608955224,-0.110447761,,,,,,SHANK3B_004_69_32,SHANK3B,M
279,167,0.598566308,0.663082437,0.075268817,,,,,,SHANK3B_004_69_33,SHANK3B,F
269,158,0.587360595,0.6133829,-0.085501859,,,,,,SHANK3B_004_70_4,SHANK3B,M
213,119,0.558685446,0.591549296,0.154929577,,,,,,SHANK3B_004_71_38,SHANK3B,F
289,155,0.53633218,0.570934256,0.107266436,,,,,,SHANK3B_004_72_63,SHANK3B,M
207,126,0.608695652,0.632850242,-0.149758454,,,,,,SHANK3B_004_73_12,SHANK3B,F
243,122,0.502057613,0.58436214,0.053497942,,,,,,SHANK3B_004_73_16,SHANK3B,F
282,167,0.592198582,0.638297872,-0.127659574,0.539138317,0.925415277,-0.531857431,1,0.518225541,SHANK3B_004_75_47,SHANK3B,M
275,154,0.56,0.6,0.025454545,,,,,,SHANK3B_004_77_56,SHANK3B,M
252,187,0.742063492,0.781746032,-0.047619048,,,,,,WAC_006_198_77,WAC,M
302,193,0.639072848,0.67218543,-0.086092715,0.044680372,2.147189379,-0.133626714,0.36327979,0.607290003,WAC_006_199_93,WAC,M
276,163,0.59057971,0.612318841,-0.188405797,0.628712177,0.876851916,-0.621695399,0.664345145,0.557031383,WAC_006_199_95,WAC,F
271,150,0.553505535,0.616236162,-0.040590406,,,,,,WAC_006_200_85,WAC,F
282,198,0.70212766,0.74822695,-0.028368794,,,,,,WAC_006_200_87,WAC,M
256,147,0.57421875,0.63671875,-0.0546875,0.138940111,2.022358894,-0.163272366,0.232569337,0.556639135,WAC_006_201_83,WAC,F
305,195,0.639344262,0.675409836,-0.081967213,0.834098399,0.74328053,-0.273380607,1,0.551906248,WAC_006_201_84,WAC,F
301,178,0.591362126,0.647840532,-0.096345515,0.380564123,0.989347041,-0.294001997,0.819416404,0.526854404,WAC_006_203_6,WAC,F
262,165,0.629770992,0.698473282,-0.091603053,0.588999987,0.935793161,-0.396796227,0.706772566,0.54916178,WAC_006_235_13,WAC,F
261,157,0.601532567,0.659003831,-0.111111111,0.852713645,0.800765753,-0.467644066,0.594419837,0.588980488,WAC_006_235_20,WAC,F
289,194,0.671280277,0.709342561,-0.065743945,0.762319267,1.082671762,-0.169052646,1,0.442288805,WAC_006_260_25,WAC,M
312,167,0.53525641,0.580128205,0.032051282,0.288455963,0.867560744,0.126537725,1,0.549044829,WAC_006_264_30,WAC,M
