session_length,total_rewards,reward_rate,correct_port_rate,action_bias,alpha,beta,bias,c_preva,lapse,best_loss,Mouse_ID,Gene,Sex
261,190,0.727969349,0.789272031,-0.049808429,1,1.314234614,-0.282660902,1,0.07407181,0.41914432,NF1_003_146_46,NF1,M
297,183,0.616161616,0.68013468,0.158249158,0.872502327,1.297100186,0.560425401,1,0.22506918,0.530797323,ChowHFD_189,C57B6/J,M
351,189,0.538461538,0.683760684,-0.133903134,0.584743917,1.296814799,-0.455847919,0.719578862,0.120398074,0.530946215,MYT1L_001_10_44,MYT1L,M
215,150,0.697674419,0.753488372,0.088372093,0.930194557,1.275024652,0.311986685,0.342537791,0,0.505830951,NF1_003_144_26,NF1,M
256,160,0.625,0.6875,0.1796875,0.440318525,1.274965405,0.426288664,0.221484542,0,0.565711737,MYT1L_001_1_3,MYT1L,M
199,129,0.648241206,0.668341709,0.035175879,1,1.263165236,-0.123895518,1,0,0.384816692,DNMT3A_002_22_12,DNMT3A,M
257,179,0.696498054,0.73540856,-0.105058366,0.851369381,1.252261281,-0.428597033,0.451986223,0,0.493766191,ChowHFD_177,C57B6/J,M
394,210,0.532994924,0.611675127,0.14213198,0.217516884,1.248196125,0.410987169,0.533900559,0,0.550387968,MYT1L_001_8_34,MYT1L,M
284,193,0.679577465,0.746478873,-0.042253521,1,1.207490087,-0.183295161,1,0,0.399138034,CNTNAP2_008_342_40,CNTNAP2,M
261,157,0.601532567,0.659003831,-0.111111111,0.807399511,1.151342392,-0.510245502,0.573336065,0.209548801,0.588754004,WAC_006_235_20,WAC,F
270,174,0.644444444,0.737037037,-0.059259259,0.576612055,1.143843055,-0.204891548,0.679906189,0,0.493742992,MYT1L_001_8_41,MYT1L,F
280,187,0.667857143,0.714285714,-0.05,1,1.142809749,-0.129726917,1,0,0.408303942,DNMT3A_002_22_9,DNMT3A,F
335,178,0.531343284,0.608955224,-0.110447761,0.178590551,1.115264416,-0.288001895,0.703712106,0,0.554620134,SHANK3B_004_69_32,SHANK3B,M
245,151,0.616326531,0.681632653,-0.102040816,0.784458697,1.113574982,-0.312948495,0.462900221,0,0.536178527,CDKL5_005_179_14,CDKL5,F
264,173,0.65530303,0.678030303,0.257575758,1,1.103960037,0.894565105,0.60422492,0.026812211,0.526823448,CDKL5_005_281_36,CDKL5,M
241,162,0.67219917,0.68879668,-0.087136929,0.435128242,1.094928026,-0.327513158,0.700610816,0,0.507730508,FMR1_007_218_77,FMR1,M
