filename,Mouse_ID,Session_type,Sex,PeakAccuracy
MYT1L_001_2_9_Bandit80_20250310.csv,MYT1L_001_2_9,Bandit80,M,0.75
MYT1L_001_3_19_Bandit80_20250310.csv,MYT1L_001_3_19,Bandit80,M,0.733333333
MYT1L_001_5_22_Bandit80_20250310.csv,MYT1L_001_5_22,Bandit80,M,0.733333333
MYT1L_001_5_23_Bandit80_20250310.csv,MYT1L_001_5_23,Bandit80,F,0.688888889
MYT1L_001_5_26_Bandit80_20250310.csv,MYT1L_001_5_26,Bandit80,M,0.683333333
MYT1L_001_5_27_Bandit80_20250310.csv,MYT1L_001_5_27,Bandit80,F,0.542857143
MYT1L_001_7_30_Bandit80_20250310.csv,MYT1L_001_7_30,Bandit80,M,0.785714286
MYT1L_001_7_32_Bandit80_20250310.csv,MYT1L_001_7_32,Bandit80,F,0.666666667
MYT1L_001_8_34_Bandit80_20250310.csv,MYT1L_001_8_34,Bandit80,M,0.675
MYT1L_001_8_36_Bandit80_20250310.csv,MYT1L_001_8_36,Bandit80,M,0.7
MYT1L_001_8_41_Bandit80_20250310.csv,MYT1L_001_8_41,Bandit80,F,0.844444444
MYT1L_001_9_11_Bandit80_20250310.csv,MYT1L_001_9_11,Bandit80,F,0.73
NF1_003_140_12_Bandit80_20250811.csv,NF1_003_140_12,Bandit80,F,0.68
NF1_003_140_15_Bandit80_20250811.csv,NF1_003_140_15,Bandit80,F,0.588888889
NF1_003_140_8_Bandit80_20250811.csv,NF1_003_140_8,Bandit80,F,0.75
NF1_003_141_19_Bandit80_20250811.csv,NF1_003_141_19,Bandit80,F,
NF1_003_141_23_Bandit80_20250811.csv,NF1_003_141_23,Bandit80,M,0.6125
NF1_003_142_55_Bandit80_20250811.csv,NF1_003_142_55,Bandit80,M,0.754545455
NF1_003_144_26_Bandit80_20250811.csv,NF1_003_144_26,Bandit80,M,0.84
NF1_003_144_28_Bandit80_20250811.csv,NF1_003_144_28,Bandit80,M,0.675
NF1_003_145_34_Bandit80_20250811.csv,NF1_003_145_34,Bandit80,M,0.67
NF1_003_146_42_Bandit80_20250811.csv,NF1_003_146_42,Bandit80,F,0.6875
NF1_003_146_46_Bandit80_20250811.csv,NF1_003_146_46,Bandit80,M,0.675
NF1_003_146_50_Bandit80_20250811.csv,NF1_003_146_50,Bandit80,M,0.55
NF1_003_147_2_Bandit80_20250811.csv,NF1_003_147_2,Bandit80,F,0.675
SHANK3B_004_115_85_Bandit80_20250825.csv,SHANK3B_004_115_85,Bandit80,F,0.75
SHANK3B_004_120_96_Bandit80_20250825.csv,SHANK3B_004_120_96,Bandit80,M,0.8375
SHANK3B_004_122_12_Bandit80_20250825.csv,SHANK3B_004_122_12,Bandit80,F,0.728571429
SHANK3B_004_122_15_Bandit80_20250825.csv,SHANK3B_004_122_15,Bandit80,F,0.714285714
SHANK3B_004_126_28_Bandit80_20250825.csv,SHANK3B_004_126_28,Bandit80,F,0.575
SHANK3B_004_126_31_Bandit80_20250825.csv,SHANK3B_004_126_31,Bandit80,M,0.66
SHANK3B_004_68_23_Bandit80_20250825.csv,SHANK3B_004_68_23,Bandit80,M,0.825
SHANK3B_004_69_32_Bandit80_20250825.csv,SHANK3B_004_69_32,Bandit80,M,0.575
SHANK3B_004_69_33_Bandit80_20250825.csv,SHANK3B_004_69_33,Bandit80,F,0.766666667
SHANK3B_004_70_4_Bandit80_20250825.csv,SHANK3B_004_70_4,Bandit80,M,0.757142857
SHANK3B_004_71_38_Bandit80_20250825.csv,SHANK3B_004_71_38,Bandit80,F,0.65
SHANK3B_004_72_63_Bandit80_20250825.csv,SHANK3B_004_72_63,Bandit80,M,0.785714286
SHANK3B_004_73_12_Bandit80_20250825.csv,SHANK3B_004_73_12,Bandit80,F,0.666666667
SHANK3B_004_73_16_Bandit80_20250825.csv,SHANK3B_004_73_16,Bandit80,F,0.671428571
